,Random Forest,Logistic Regression,LightGBM,CATBoost,Log-Bagging,Voting,Log-Adaboost,Log-GradientBoost
0,0.9791718664204064,0.9588345895938368,0.9852035807584154,0.9843924191750278,0.9588137905788782,0.9813557629910648,0.9587929915639195,0.9842093878433917
1,0.9829505488213837,0.9589569939964994,0.9864553172694704,0.9833717753676532,0.9589815314652141,0.9839647641949256,0.9589283669496655,0.9863162716134204
2,0.9855118507928362,0.9595863321806355,0.9906175283388524,0.9878376121640171,0.9595374545336055,0.9871533251055962,0.9596352098276656,0.9896949627511599
3,0.9855937520639324,0.9659698830988706,0.9894904563767255,0.9896638266957267,0.9661680206063008,0.9879466349646655,0.9660276732052044,0.9880291922594281
4,0.9803658531582424,0.9586722951767935,0.9849605553025735,0.9846364647048929,0.9586681927641646,0.9831760058090163,0.9586681927641646,0.9868845868255121
5,0.9846044321583354,0.9578974100641552,0.9879308406779379,0.9908450909454245,0.9577850032681235,0.9870232598803492,0.9578682675614804,0.9884221000087428
6,0.9857486969532547,0.9678389976816455,0.9900442295993029,0.9907676877291636,0.9678266660089775,0.9892550025485457,0.9678965454874299,0.9893125503543301
7,0.9802238233941438,0.9582226715447626,0.9854030022664088,0.9847980741741282,0.9583055384067188,0.981959884152127,0.9582848216912299,0.9854278623249955
8,0.9806138802998171,0.9604830745819236,0.9860249955480728,0.9826212947823413,0.9605761603341374,0.9821720548477442,0.9604102248627997,0.9854948114811157
9,0.9826456649010314,0.9591375719509996,0.9856835959920629,0.9824939733350826,0.9589120844881025,0.9832565309368799,0.9591785696715264,0.9853884124042703
10,0.9822857822685521,0.9618065384252479,0.9885870880664919,0.9888865641883992,0.9617819239494746,0.9858302667798932,0.9618557673767943,0.987380978753605
11,0.9825559992070909,0.9563819071082686,0.9863991811999628,0.9871030903228677,0.9564304525650206,0.9845544538433842,0.956341452560975,0.987535953978907
12,0.9843596823737011,0.9661786811319523,0.9879256257760931,0.9886445330370564,0.9659621920135939,0.9873864453303707,0.9661786811319522,0.9881298607934121
13,0.9816050131392763,0.9623761875884375,0.9870249646250252,0.9812344181658917,0.962384610201469,0.9827210093659458,0.9623509197493431,0.9867596523145341
14,0.9789830508474576,0.9551798263745349,0.9845969408846631,0.9864820173625465,0.9549979330301777,0.9827986771393138,0.9551384869780901,0.9840429929723026
15,0.9864277623313767,0.967850890742457,0.9904191123468232,0.988520234785295,0.9680362475543197,0.9886314488724127,0.967850890742457,0.9890021624961385
16,0.9854964701605674,0.9616943229276393,0.9889540191425112,0.9877395395717926,0.9615497420263633,0.9857567157828643,0.9617397626394689,0.9881113190322168
17,0.987909962009809,0.9660604460650659,0.9917791041574716,0.9887968122888573,0.9659944479047645,0.9900095284843935,0.96601094744484,0.9905622630769167
18,0.9725633474671196,0.9539491102231672,0.9786363951106061,0.9790681476593717,0.9539450370859148,0.9759603439357096,0.9538880131643797,0.9780987409932752
19,0.979497039964578,0.9549640040013775,0.9873255546991587,0.9843470703028911,0.9549640040013776,0.9829531478049821,0.9549681037734302,0.9864420538218075
20,0.975638984259674,0.9571826640792158,0.9831027848269228,0.9810129206680931,0.9572365693055348,0.9795326002222555,0.9571702244116037,0.9808885239919722
21,0.9815652173913044,0.961051662404092,0.9854240409207161,0.9880388746803069,0.9611907928388747,0.9853217391304347,0.9610680306905371,0.985374936061381
22,0.9840467258191041,0.9580378082436766,0.9872150257487877,0.9887412561831639,0.9580296791867692,0.985457117192549,0.9579971629591394,0.9863147326962862
23,0.9851014247565972,0.9608067539102021,0.9892604202949031,0.9852963128825198,0.9608440729130385,0.9854455888938648,0.9608109004660729,0.9887172214758422
24,0.9855254515599343,0.9661986863711001,0.9905377668308702,0.9886617405582923,0.9662274220032839,0.9873768472906405,0.9661945812807883,0.9899835796387519
